id,value
id_0,22.555671482535054
id_1,54.9782513097059
id_2,25.96589954380579
id_3,27.166948137991863
id_4,14.687672670378884
id_5,21.811542798292233
id_6,32.87678492464989
id_7,19.966531281769583
id_8,50.475665203091104
id_9,26.183961865698976
id_10,21.880274430494026
id_11,36.440472653012655
id_12,29.13425034269914
id_13,26.559742565131316
id_14,38.601816396933415
id_15,21.53933851489239
id_16,32.828042528378994
id_17,32.47626656588589
id_18,17.44980857682858
id_19,22.42591055406974
id_20,15.901395616212236
id_21,26.050556441750764
id_22,33.87956959580204
id_23,27.413918270473047
id_24,40.33334687065952
id_25,27.09297620802636
id_26,16.91923860382982
id_27,15.57069121600382
id_28,26.618141053982345
id_29,23.305467594355314
id_30,18.528850202682772
id_31,16.62435877040542
id_32,20.043978652349324
id_33,19.133807378681198
id_34,23.751189330396553
id_35,39.22949477477023
id_36,22.30415214576176
id_37,23.53240348031529
id_38,14.25469048973364
id_39,32.98253721912313
id_40,23.974737210721834
id_41,24.96918334993046
id_42,38.93965823760564
id_43,21.925123383663866
id_44,20.459252240529782
id_45,36.05545574235325
id_46,38.9439675028323
id_47,30.562492547503428
id_48,28.66468909797651
id_49,21.913243033788348
id_50,30.11880553621888
id_51,17.977898572105428
id_52,20.72227606794538
id_53,18.424355421094027
id_54,24.648927575614948
id_55,30.558938052187678
id_56,23.46022550039013
id_57,21.91658415649103
id_58,20.98697601207152
id_59,32.429312858315015
id_60,14.930915980614083
id_61,27.4536443795003
id_62,25.856012374771222
id_63,30.773167880663625
id_64,28.732174124194405
id_65,23.48502834848379
id_66,25.756421225336016
id_67,30.542077587921547
id_68,26.311030149898748
id_69,30.374470640071365
id_70,41.43646644101497
id_71,43.02451883684994
id_72,29.95677064307847
id_73,13.404933471172898
id_74,15.456920798436814
id_75,33.4787927491181
id_76,38.139245397148315
id_77,10.604378771181299
id_78,34.35120887770826
id_79,32.09638624902856
id_80,18.64088726287333
id_81,17.847993859341933
id_82,16.58350623105683
id_83,24.60655846474068
id_84,17.73837135642721
id_85,17.448392269866417
id_86,14.425800183744526
id_87,14.930750051776272
id_88,26.01890701666709
id_89,19.01179950179585
id_90,21.752653983949983
id_91,14.494927357072488
id_92,19.001649807601645
id_93,16.107993710582736
id_94,23.848006040257676
id_95,25.09520240551788
id_96,16.174579567714265
id_97,10.18792818773323
id_98,15.019629794095689
id_99,12.36429060712205
id_100,12.864280473956343
id_101,18.818463132878016
id_102,14.097111958114775
id_103,15.501464747815808
id_104,18.99286806308887
id_105,21.865301961729834
id_106,16.653621218127626
id_107,15.80271210299869
id_108,17.175091788130334
id_109,16.60164325463854
id_110,19.420510887996315
id_111,13.37336309189344
id_112,15.626790656685873
id_113,17.33216649901476
id_114,25.352651478880148
id_115,15.0328878101998
id_116,16.662204481238824
id_117,23.553899213366932
id_118,26.67782535394949
id_119,12.157940201338638
id_120,7.2789551502239656
id_121,10.402314736548744
id_122,10.21842824374642
id_123,11.623843094396234
id_124,9.672313186379423
id_125,23.744950009423473
id_126,23.07126097127593
id_127,11.907971056639573
id_128,21.624096465446243
id_129,8.582600735961677
id_130,8.711420544259374
id_131,19.973928428497082
id_132,18.41511753102646
id_133,35.12761238692507
id_134,25.540029197218914
id_135,23.90042615824822
id_136,17.18939936405663
id_137,25.24839024182195
id_138,40.73241080104426
id_139,38.47676620679599
id_140,22.45704715007442
id_141,17.580670056429366
id_142,19.963025399478195
id_143,13.795076206546868
id_144,19.036120549950205
id_145,13.486862590981811
id_146,18.48345872583995
id_147,13.522167138833092
id_148,17.497679524790033
id_149,19.161136254502328
id_150,22.131850394480605
id_151,22.910103595565932
id_152,18.36216014788033
id_153,16.156026928171613
id_154,17.251006523356708
id_155,24.372453156739297
id_156,22.137382742806558
id_157,26.175009937323885
id_158,12.407481124632435
id_159,20.56114163814101
id_160,32.97947943452921
id_161,22.905801591521243
id_162,41.480285429276464
id_163,19.475394223976416
id_164,25.905452095910544
id_165,23.100163090340914
id_166,31.615709650098466
id_167,8.457218346264177
id_168,42.05124452954597
id_169,17.92164350730136
id_170,19.45605786377936
id_171,41.94976899034081
id_172,18.045650604137585
id_173,16.773565026534282
id_174,32.41374213664158
id_175,8.04891447650449
id_176,21.648200380529776
id_177,29.388169319671935
id_178,20.087729402721365
id_179,23.058883662990628
id_180,31.016356297812194
id_181,24.481221607750335
id_182,29.766889766521334
id_183,17.820999019885914
id_184,15.230989866916524
id_185,30.68441275949354
id_186,29.470248441080273
id_187,23.835073884545682
id_188,16.613496286612158
id_189,21.95111638158153
id_190,19.612924775187892
id_191,20.252177704650695
id_192,23.326937290493074
id_193,44.35818868253471
id_194,26.670810853631213
id_195,18.60348409816646
id_196,43.888297075797915
id_197,18.595650627718456
id_198,18.414073219197288
id_199,25.194463962859963
id_200,52.55368315232882
id_201,21.68224974603483
id_202,31.954836031479267
id_203,17.792366674077783
id_204,38.48077320253892
id_205,21.664524736731973
id_206,18.083059215991273
id_207,20.469672345029334
id_208,30.32526802355885
id_209,29.215329412272837
id_210,27.393040024868107
id_211,44.121837213905586
id_212,18.7374804892994
id_213,76.42525855199042
id_214,21.839421562169186
id_215,51.59923646377498
id_216,43.212270121226126
id_217,44.66204029591234
id_218,20.405977974269643
id_219,35.01957928410669
id_220,27.812326176913636
id_221,44.20190116658477
id_222,23.85361004510319
id_223,25.159971167713664
id_224,35.20515634939626
id_225,15.697780978672592
id_226,20.073331280598012
id_227,44.41153868672638
id_228,30.39343570213473
id_229,12.971966530409514
id_230,28.8452905384662
id_231,15.862576681256709
id_232,17.983972499828393
id_233,19.69929969043764
id_234,28.129159775659744
id_235,21.78072918762518
id_236,16.243027383089508
id_237,16.371865529343687
id_238,23.210755640590868
id_239,20.043425449663278
